NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;SPOE   ;FPOE   ;GRUE   ;OEVP   ;NEOS   ;HC     ;LINKS  ;BIER   ;SOEZ   ;VOLT   ;WIFF   ;PRO    ;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;1;580;210;3;88;10;40;33;10;7;14;2;3;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;2;709;267;1;119;12;55;49;15;3;6;6;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;3;848;285;7;100;16;66;58;15;5;13;5;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;4;672;247;5;79;5;76;37;28;5;9;2;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;5;801;206;7;90;12;34;26;9;15;2;6;5;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;6;775;295;3;120;11;67;42;23;6;11;11;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;7;662;237;2;87;13;62;31;20;4;16;2;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;8;561;224;4;84;11;50;51;12;4;6;1;0;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;9;671;322;6;124;17;74;45;26;8;11;5;4;2;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;10;780;278;2;98;14;70;47;21;6;11;9;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;11;599;194;2;80;10;38;37;14;3;5;3;2;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;12;839;341;6;114;6;95;59;34;4;17;5;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;13;700;279;4;109;15;62;41;18;10;8;7;5;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;14;211;79;15;42;3;0;14;1;3;0;0;0;1;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;15;680;264;0;93;15;76;29;24;2;18;5;2;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;16;712;286;6;111;23;53;51;21;7;9;4;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;17;854;266;3;104;8;57;46;29;8;8;3;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;18;624;228;3;90;16;51;28;17;9;7;3;4;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;19;589;240;9;77;10;66;28;34;4;6;4;2;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;20;706;264;7;77;18;57;49;34;4;10;4;2;2;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;21;727;241;2;90;8;57;35;29;3;13;4;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;22;671;255;0;107;14;52;40;17;6;12;6;1;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;23;501;190;0;86;7;43;18;17;1;8;5;5;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;24;508;213;0;87;4;42;37;25;2;13;1;2;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;25;757;274;2;113;6;68;31;28;3;14;9;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;26;756;276;2;102;10;63;48;26;6;12;7;0;0;0;0;                                                                                                                                                                                         
AT1;AT13;AT130;90601;4;1;1;6;27;794;279;3;117;8;75;34;15;3;15;4;4;1;0;0;                                                                                                                                                                                         
